Producto,Unidad,Stock Atolon,Stock Loggro,Diferencia,LoggroID
"The Glenlivet Founder","Unidad",1,0,1,68747f7fdf1cf740b13d38c0
"MUGA RIOJA VINO ROSSE","Und",1,0,1,698bd45800164c4d2a050c1f
"LAURENT PERRIER BRUT","Und",1,0,1,696c4233f4fcba32cbf79170
"Ginebra Beaffeter 700ml","Unidad",0.9,0,0.9,6874f0cc6bea1eb52ada2aac
"LICOR DE CAFÉ 750 ML","Und",0.8,0,0.8,68757a75080ea68e3d1c1ce7
"Cognac Hennessy 700-ml","Und",0.6,0,0.6,6876e757d032e995fe0f4d05
"Brandy Domecq 750ml","Unidad",0.6,0,0.6,6874f5734c711bfff5aba1a4
"Campari 750ml","Unidad",0.5,0,0.5,6874f52219a9cdba45e963fc
"Ron Cachaza 51 - 965-ml","Und",0.5,0,0.5,6876e4825552e0779efc3525
"Ginebra Hendricks 750ml","Unidad",0.4,0,0.4,6874f13402031e4f081e71c9
"Baileys 700ml","Unidad",0.4,0,0.4,6874f41f0f8f3850d5a446d3
"PATRON","Unidad",0.3,0,0.3,6876ed9f3ebe0a4d6cf14c6b
"Macallan 12  700 ml","Und",0.2,0,0.2,6876c796e0f3b17f70c8542a
"Ginebra Monkey 47 - 500ml","Unidad",0.1,0,0.1,6874f10a6bea1eb52ada6d4c
