Clasificacion,Producto,Categoria,Cantidad,Valor
bebida,"VIEJO CALDAS SHOT","RON",1,35000
bebida,"PEPSI COLA ZERO","BEBIDAS",1,11000
bebida,"JACK DANIELS N7 BT","BOTELLAS",1,420000
bebida,"Coco Frio","BEBIDAS",1,20000
bebida,"CAFÉ FRIO","BEBIDAS",1,12000
bebida,"CHANDON  ROSE BT","BOTELLAS",1,350000
comida,"LOMO A LA PIMIENTA","PLATOS PRINCIPALES",1,88600
?,"Bastones de Queso | Cheese Sticks","MENU ATOLON KIDS PASA DIA",1,42000
bebida,"CORONA CON CLAMATO","(sin categoria)",1,33000
bebida,"COSTEÑITA CON CLAMATO","(sin categoria)",1,27000
comida,"ADICION DE MAYONESA DE TRUFA","(sin categoria)",1,3000
bebida,"Jagermaister SHOT","LICORES",1,36000
comida,"STEAK DE ATUN SASHIMI","PLATOS PRINCIPALES",1,72000
comida,"SANDWICH JAMON Y QUESO","PLATOS PRINCIPALES",1,30000
bebida,"smirnoff Shot","VODKA / GIN",1,29000
bebida,"MAESTRO DOBEL CRISTALINO BT","BOTELLAS",1,890000
bebida,"GORDON GIN SHOTS","VODKA / GIN",1,26500
