LoggroID,Ingrediente,Categoria,Unidad,StockLoggro,EnAtolon
"69f25fdb9bad3a787984ff02","GALLETAS OREO ORIGINAL 54 GR","Otros","?",0,"GALLETAS OREO ORIGINAL 54 GR"
"69f2604ff7de4f502fae86ca","GALLETAS RITZ SALADAS QUESO 180 GR EN 6 UND","Otros","?",0,"GALLETAS RITZ SALADAS QUESO 180 GR EN 6 UND"
"69fcd29158126d586c2baa99","gasolina","Otros","?",0,"gasolina"
"69fcd33e5313a62e223cda27","gasolina","Otros","?",0,"gasolina"
"6a5016b57ff6c1afe7492487","Gatorade Tropical 500ml","BEBIDAS","Und",0,"Gatorade Tropical 500ml"
"66e1ce09f81f3e075de8d889","gelcomb","Otros","Und",0,"gelcomb"
"6875e2c2284ec44c04ad216c","Ginger Beer","BEBIDAS","Und",0,"Ginger Beer"
"69f2789824d9e5d101c17b6d","GRAPADORAS ","Otros","?",0,"GRAPADORAS "
"69f278f143cfbb59a37ff206","GRAPAS","Otros","?",0,"GRAPAS"
"665627a1502320873e0974ae","Guacamole","PRODUCCION COCINA","Gr",0,""
"687513ef4c711bfff549f026","GUACAMOLE","Insumos cocina","Gr",0,"GUACAMOLE"
"66a6c9794f420edc5e9877c8","habichuelas","Insumos cocina","Gr",0,"habichuelas"
"66637614ca185fd8d6b34ddc","harina de choclo","Insumos cocina","Gr",0,"harina de choclo"
"69f1126cdb596c5d5612ea19","HIGADO","COMEDOR STAFF","?",0,""
"68756a2702031e4f08edf7e9","Hojas de hierbabuena","Producción BAR","Und",0,"Hojas de hierbabuena"
"66411509c33d858647eaf989","Hueso","PRODUCCION COCINA","Gr",0,"Hueso"
"68823e051e97b7d383e54021","HUESO CARNUDO","COMEDOR STAFF","Kg",0,""
"69f10fecdb596c5d560cc214","HUEVOS COMEDOR","COMEDOR STAFF","?",0,""
"6657c16a9ebba941055c1544","HUEVOS REVUELTOS","Insumos cocina","Und",0,""
"6658b974b69bb60c760b2656","HUEVOS REVUELTOS TOMATE Y CEBOLLA","PRODUCCION COCINA","Und",0,""
"685d954caa588123423b877b","Insta crean x100","Producción BAR","Und",0,"Insta crean x100"
"6a2efbede59a583daab0bf2b","JABON DE MANO","Otros","Und",0,"JABON DE MANO"
"6875390598b4307b84275c21","Jarabe de canela","Producción BAR","Ml",0,"Jarabe de canela"
"677de6f756fcb4bdd16d0c35","Jarabe de lychee","Producción BAR","Oz",0,"Jarabe de lychee"
"677de6c74515916f17714a09","Jarabe de pepino","Producción BAR","Oz",0,"Jarabe de pepino"
"677de6de8d18ddfbfd4fe48c","Jarabe de romero","Producción BAR","Oz",0,"Jarabe de romero"
"687558e16b1734188b71e3ac","Jarabe natural","Producción BAR","Ml",0,"Jarabe natural"
"69efa34b94cf61b09437ee5f","Jimador Silver","TEQUILA / MEZCAL","?",0,"Jimador Silver"
"685d993a0d750d02fd90a377","Jugo de maggie","Producción BAR","Und",0,"Jugo de maggie"
"68752a734c711bfff5f04dba","JUGO DE NARANJA","PRODUCCION COCINA","Ml",0,"JUGO DE NARANJA"
"687569114468359327114f6b","Jugo de pepino","Producción BAR","Ml",0,"Jugo de pepino"
"677de82856fcb4bdd17062ac","Jugo de sandia","Producción BAR","Ml",0,"Jugo de sandia"
"68f19225ddc7366bc453b6cc","Jugo de Tomate","Producción BAR","Ml",0,"Jugo de Tomate"
"685d9aa6d61654d772d971ee","Leche de almendras","Producción BAR","Und",0,"Leche de almendras"
"685d9b4b8351b342aa2d7c16","Leche de soya","Producción BAR","Und",0,"Leche de soya"
"685d91d28351b342aacee3ef","Leche deslactosada","Producción BAR","Und",0,"Leche deslactosada"
"68601daabca77aa50c6e7b23","LECHUGA BATABIA","Insumos cocina","Gr",0,"LECHUGA BATABIA"
"665759100a3b0e69cfc82fd0","LENTEJAS","COMEDOR STAFF","Kg",0,""
"6874f3e5728142c85d5b7c8a","Licor Cointreau 700ml","LICORES","Und",0,"Licor Cointreau 700ml"
"6874f48cdf1cf740b1bb67c7","Licor Triple Sec Blue 750ml","LICORES","Und",0,"Licor Triple Sec Blue 750ml"
