Producto,Categoria,UnidadProducto,PrecioVenta,Fuente
"CHOCOLATE","BEBIDA CALIENTES - HOT SOFT DRINKS","",11000,"/products"
"chocolate corona","Insumos cocina","Gr",0,"/ingredients"
"CHOCOLATE M&M  MILK CHOCOLATE","Otros","",0,"/ingredients"
"chorizo antiqueño","Insumos cocina","Und",0,"/ingredients"
"CHULETA","PRODUCCION COCINA","Kg",0,"/ingredients"
"Cilantro","Insumos cocina","Gr",0,"/ingredients"
"cinta aislante 23","Otros","",0,"/ingredients"
"cinta aislante 33","Otros","",0,"/ingredients"
"CINTA TRANSPARENTE GRANDE","Otros","",0,"/ingredients"
"cintas de colores","Otros","",0,"/ingredients"
"Cinzano Brut","VINOS / ESPUMOSOS","",0,"/ingredients"
"cinzano cortesía","VINOS / ESPUMOSOS","",1,"/products"
"Cinzano Rosso","LICORES","",0,"/ingredients"
"CLAMATO","BEBIDAS","",15000,"/products"
"CLAMATO 64 Oz","Producción BAR","Oz",0,"/ingredients"
"Clara de huevo","Producción BAR","Und",0,"/ingredients"
"CLASE AZUL BT","BOTELLAS","",4800000,"/products"
"Clavo de olor","Producción BAR","Gr",0,"/ingredients"
"CLAVOS DE OLOR","Insumos cocina","Gr",0,"/ingredients"
"CLORO 20 LT","Otros","Und",0,"/ingredients"
"CLORO EN GEL","Otros","Und",0,"/ingredients"
"Club Colombia","CERVEZAS","Unidad",0,"/ingredients"
"COBERTURA DE CHOCOLATE BLANCO","Insumos cocina","Gr",0,"/ingredients"
"Coca Cola Original 3L","BEBIDAS","Unidad",0,"/ingredients"
"Coca Cola Original Botella 400ml","BEBIDAS","Unidad",0,"/ingredients"
"Coca Cola Regular 330ml","BEBIDAS","Unidad",0,"/ingredients"
"Coca Cola Zero 2.5L","BEBIDAS","Unidad",0,"/ingredients"
"Coca Cola Zero 330ml","BEBIDAS","",0,"/ingredients"
"Coca Cola Zero Botella 400ml","BEBIDAS","Unidad",0,"/ingredients"
"COCA-COLA LATA ORIGINAL 330ML","BEBIDAS","",15000,"/products"
"COCADAS TRADICIONALES","PRODUCCION COCINA","Und",0,"/ingredients"
"coco","Insumos cocina","Gr",0,"/ingredients"
"COCO","Insumos cocina","",0,"/products"
"Coco deshidratado","Producción BAR","Gr",0,"/ingredients"
"Coco Rallao","Producción BAR","Gr",0,"/ingredients"
"Cocoa","Insumos cocina","Gr",0,"/ingredients"
"Cocoa en polvo","Producción BAR","Und",0,"/ingredients"
"Cocolada","COCKTAILS / MIX","",55000,"/products"
"Cóctel de Camarón","MENU FULL YATE","",60000,"/products"
"COCTEL ESPECIAL","COCKTAILS / MIX","",50000,"/products"
"Codillo","PRODUCCION COCINA","Gr",0,"/ingredients"
"Cognac grand marnier 750-ml","BOTELLAS","Und",0,"/ingredients"
"Cognac Hennessy 700-ml","BOTELLAS","Und",0,"/ingredients"
"COGNAC REMY MARTIN VSOP BT","BOTELLAS","",789000,"/products"
"cohete","Insumos cocina","Gr",0,"/ingredients"
"combustible acpm","Otros","",0,"/ingredients"
"COMENSALES","WELCOME DRINK","",1,"/products"
"COMENSALES","pasadia","",0,"/products"
"COMIDA DE STAFF","COMPLEMENTOS Y ADICIONALES","",25000,"/products"
"Comino Badia","Insumos cocina","Gr",0,"/ingredients"
"COMPLEMENTO Gnocchis de papa a la gorgonzola","MENU FULL YATE","",20000,"/products"
"Confitado de corozo","PRODUCCION COCINA","Gr",0,"/ingredients"
"CONTENEDOR DELI LITRO","PRODUCCION COCINA","Und",0,"/ingredients"
"Coñac Hennessy VS Shot","Shots","",70000,"/products"
"copa  Santa Helena Sauvignon Blanc","VINOS / ESPUMOSOS","",25000,"/products"
"COPA DE SANGRIA","COCKTAILS / MIX","",45000,"/products"
"COPA DE SANGRIA","VINOS / ESPUMOSOS","",45000,"/products"
"COPA DE VINO BLANCO ROSALEDA","VINOS / ESPUMOSOS","",30000,"/products"
"COPA SANTA HELENA VINO TINTO","VINOS / ESPUMOSOS","",15000,"/products"
"Corozo","Producción BAR","Kg",0,"/ingredients"
"Corozo x ml","Jugos","Ml",0,"/ingredients"
"CORTESIA PARA POLICIAS","CORTESIAS","",0,"/products"
"COUSIÑO MACUL","VINOS / ESPUMOSOS","",234000,"/products"
"CREMA DE AVELLANA","Insumos cocina","Gr",0,"/ingredients"
"Crema de coco","Producción BAR","Ml",0,"/ingredients"
"Crema de coco","PRODUCCION COCINA","Und",0,"/ingredients"
"Crema de leche","Insumos cocina","ml",0,"/ingredients"
"CROQUETAS DE YUCA","COMPLEMENTOS Y ADICIONALES","",0,"/products"
"CUBIERTOS DESECHABLES","Insumos cocina","Und",0,"/ingredients"
"CURBINA, CON ARROZ CREMOSO","PLATOS PRINCIPALES","",98000,"/products"
"curcuma","Insumos cocina","Gr",0,"/ingredients"
"curry en polvo badia","Insumos cocina","Gr",0,"/ingredients"
"Dash orange bitter","Producción BAR","Ml",0,"/ingredients"
"DECORACION","Otros","",350000,"/products"
"DEDITOS ","Insumos cocina","Unidad",0,"/ingredients"
"Dedos de Pollo | Chicken Fingers","MENU ATOLON KIDS PASA DIA","",1,"/products"
"Descorche","Otros","",1000000,"/products"
"Descorche","Otros","",500000,"/products"
"DESCORCHE","DESCORCHE","",360000,"/products"
"DESCORCHE","Otros","",210000,"/products"
"DESCORCHE  VEUVE CLICQUOT","DESCORCHE","",140000,"/products"
"DESCORCHE BOTELLA","Otros","",500000,"/products"
"Descorche Castillete","DESCORCHE","",325000,"/products"
"DESCORCHE MOET CHANDON","DESCORCHE","",130000,"/products"
"desechables","Insumos cocina","Und",0,"/ingredients"
"DESINFECTANTE","Otros","Und",0,"/ingredients"
"detergente","Otros","Unidad",0,"/ingredients"
"DICTADOR 12 AÑOS 700 ML","RON","Und",0,"/ingredients"
"DICTADOR 20 AÑOS 700 ML","RON","Und",0,"/ingredients"
"DIPLOMATICO 700 ML","RON","Und",0,"/ingredients"
"Don Julio 1942 - 750ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Don Julio 70 - 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Don Julio Anejo 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Don Julio Blanco 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Don Julio Reposado 700ml","TEQUILA / MEZCAL","Unidad",0,"/ingredients"
"Don Luis CS-Merlot BT","BOTELLAS","",179400,"/products"
"DON PERIGNON BT","BOTELLAS","",4400000,"/products"
"DON SIMON VINO BLANCO","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"Dorado Highball","COCKTAILS / MIX","",55000,"/products"
"DUQUE DE ALBA BT","BOTELLAS","",810000,"/products"
"Electrolit 450ml","BEBIDAS","Unidad",0,"/ingredients"
"Electrolit Fresa","BEBIDAS","Und",0,"/ingredients"
"ELECTROLIT MARACUYA 625ML","BEBIDAS","Und",0,"/ingredients"
"Electrolit Uva","BEBIDAS","Und",0,"/ingredients"
"EMPANADAS  DE CARNE ","Insumos cocina","Unidad",0,"/ingredients"
"ENJUAGE BUCAL","Otros","Und",0,"/ingredients"
"ESCOBA DE PALITO","Otros","Und",0,"/ingredients"
"escoba hotelera","Otros","Und",0,"/ingredients"
"Esencia Vainilla Levapan","PRODUCCION COCINA","ml",0,"/ingredients"
