Producto,Categoria,UnidadProducto,Ingrediente,CantidadReceta,UnidadIngrediente
"ATOLON SALAD VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LECHUGA CRESPA MORADA",30,"Gr"
"ATOLON SALAD VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Lechuga Crespa Verde",30,"Gr"
"ATOLON SALAD VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LECHUGA ROMANA",30,"Gr"
"ATOLON SALAD VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","VINAGRETA FRUTOS ROJOS",0.03,"Kg"
"ATOLON SALAD VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","QUESO CABRA",30,"Gr"
"ATOLON SALAD VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","MANZANA VERDE",20,"Gr"
"ATUN","PRODUCCION COCINA","Und","ATUN",1,"Und"
"ATUN","PRODUCCION COCINA","Und","Tomate",200,"Gr"
"ATUN","PRODUCCION COCINA","Und","Cebolla roja",200,"Gr"
"ATUN","PRODUCCION COCINA","Und","AJI HABANERO",100,"Gr"
"ATUN","PRODUCCION COCINA","Und","Sal",5,"Gr"
"ATUN","PRODUCCION COCINA","Und","Ajo",20,"Gr"
"ATUN","PRODUCCION COCINA","Und","Vinagre 3000ML",20,"Ml"
"ATUN","PRODUCCION COCINA","Und","Aceite Vegetal",20,"ml"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","TUNA LOIN",120,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","Arroz",80,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","Zanahoria",50,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","Pepino Cohombro",50,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","Espinacas",10,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","Patilla",100,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","Limon",40,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","Salsa de soya",10,"Ml"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","SEAWEED SALAD",10,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","AJONJOLY",2,"Gr"
"ATUN POKE BOWL","ENTRADAS Y ENSALADAS","","aguacate",100,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Arroz",80,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Pepino Cohombro",50,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Zanahoria",50,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Espinacas",20,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Patilla",100,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Limon",100,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","SEAWEED SALAD",40,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","AJONJOLY",2,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","SALSA PONZU",0.02,"Kg"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","TUNA LOIN",120,"Gr"
"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","aguacate",100,"Gr"
"BACARDI  CARTA BLANCA BT","BOTELLAS","","Ron Bacardi Blanco 700ml",1,"Unidad"
"BACARDI AÑEJO BT","BOTELLAS","","Ron Bacardi Añejo 700ml",1,"Unidad"
"BACARDI AÑEJO SHOT","RON","","Ron Bacardi Añejo 700ml",0.0857,"Unidad"
"BACARDI CARTA BLANCA SHOT","RON","","Ron Bacardi Blanco 700ml",0.0857,"Unidad"
"Baron de Rothberg Brut 750Ml BT","BOTELLAS","","Baron de Rothberg BRUT",5,"Oz"
"Baron de rothberg brut rosse BT","BOTELLAS","","Espumoso Baron Rotberg 750ml",1,"Unidad"
"Baron de Rothberg Demi Sec 750ml BT","BOTELLAS","","Demi Sec Baron de rothberg (unidad)",5,"Unidad"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","QUESO MOZARRELA BLOQUE",200,"Gr"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","HUEVOS",1,"Und"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","panko",100,"Gr"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","harina de trigo",100,"Gr"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","Paprika Badia",2,"Gr"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","Sal",2,"Gr"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","Aceite Vegetal",100,"ml"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","Mayonesa Fruco",10,"Gr"
"Bastones de Queso | Cheese Sticks","MENU ATOLONTO KIDS","","Salsa de tomate",10,"Gr"
"BAYLEIS SHOT","Shots","","Baileys 700ml",0.857,"Unidad"
